nazwa miasta;nazwa województwa
Z¹bki;MAZOWIECKIE
Zielonka;MAZOWIECKIE
Radzymin;MAZOWIECKIE
T³uszcz;MAZOWIECKIE
Wo³omin;MAZOWIECKIE
Wyszków;MAZOWIECKIE
Zwoleñ;MAZOWIECKIE
Bie¿uñ;MAZOWIECKIE
¯uromin;MAZOWIECKIE
¯yrardów;MAZOWIECKIE
Mszczonów;MAZOWIECKIE
Ostro³êka;MAZOWIECKIE
P³ock;MAZOWIECKIE
Radom;MAZOWIECKIE
Siedlce;MAZOWIECKIE
Brzeg;OPOLSKIE
Grodków;OPOLSKIE
Lewin Brzeski;OPOLSKIE
Baborów;OPOLSKIE
G³ubczyce;OPOLSKIE
Kietrz;OPOLSKIE
Kêdzierzyn-KoŸle;OPOLSKIE
Byczyna;OPOLSKIE
Kluczbork;OPOLSKIE
Wo³czyn;OPOLSKIE
Gogolin;OPOLSKIE
Krapkowice;OPOLSKIE
Zdzieszowice;OPOLSKIE
Namys³ów;OPOLSKIE
G³ucho³azy;OPOLSKIE
Korfantów;OPOLSKIE
Nysa;OPOLSKIE
Otmuchów;OPOLSKIE
Paczków;OPOLSKIE
Dobrodzieñ;OPOLSKIE
Gorzów Œl¹ski;OPOLSKIE
Olesno;OPOLSKIE
Praszka;OPOLSKIE
Niemodlin;OPOLSKIE
Ozimek;OPOLSKIE
Prószków;OPOLSKIE
Bia³a;OPOLSKIE
G³ogówek;OPOLSKIE
Prudnik;OPOLSKIE
Kolonowskie;OPOLSKIE
Leœnica;OPOLSKIE
Strzelce Opolskie;OPOLSKIE
Ujazd;OPOLSKIE
Zawadzkie;OPOLSKIE
Opole;OPOLSKIE
Ustrzyki Dolne;PODKARPACKIE
Brzozów;PODKARPACKIE
Dêbica;PODKARPACKIE
Brzostek;PODKARPACKIE
Pilzno;PODKARPACKIE
Jaros³aw;PODKARPACKIE
Radymno;PODKARPACKIE
Pruchnik;PODKARPACKIE
Jas³o;PODKARPACKIE
Ko³aczyce;PODKARPACKIE
Kolbuszowa;PODKARPACKIE
Dukla;PODKARPACKIE
Iwonicz-Zdrój;PODKARPACKIE
Jedlicze;PODKARPACKIE
Rymanów;PODKARPACKIE
Le¿ajsk;PODKARPACKIE
Nowa Sarzyna;PODKARPACKIE
Lubaczów;PODKARPACKIE
Cieszanów;PODKARPACKIE
Narol;PODKARPACKIE
Oleszyce;PODKARPACKIE
£añcut;PODKARPACKIE
Mielec;PODKARPACKIE
Przec³aw;PODKARPACKIE
Radomyœl Wielki;PODKARPACKIE
Nisko;PODKARPACKIE
Rudnik nad Sanem;PODKARPACKIE
Ulanów;PODKARPACKIE
Przeworsk;PODKARPACKIE
Kañczuga;PODKARPACKIE
Sieniawa;PODKARPACKIE
Ropczyce;PODKARPACKIE
Sêdziszów Ma³opolski;PODKARPACKIE
Dynów;PODKARPACKIE
B³a¿owa;PODKARPACKIE
Boguchwa³a;PODKARPACKIE
G³ogów Ma³opolski;PODKARPACKIE
Soko³ów Ma³opolski;PODKARPACKIE
Tyczyn;PODKARPACKIE
Sanok;PODKARPACKIE
Zagórz;PODKARPACKIE
Stalowa Wola;PODKARPACKIE
Zaklików;PODKARPACKIE
Strzy¿ów;PODKARPACKIE
Baranów Sandomierski;PODKARPACKIE
Nowa Dêba;PODKARPACKIE
Lesko;PODKARPACKIE
Krosno;PODKARPACKIE
Przemyœl;PODKARPACKIE
Rzeszów;PODKARPACKIE
Tarnobrzeg;PODKARPACKIE
Augustów;PODLASKIE
Lipsk;PODLASKIE
Choroszcz;PODLASKIE
Czarna Bia³ostocka;PODLASKIE
£apy;PODLASKIE
Micha³owo;PODLASKIE
Supraœl;PODLASKIE
Sura¿;PODLASKIE
Tykocin;PODLASKIE
Wasilków;PODLASKIE
Zab³udów;PODLASKIE
Bielsk Podlaski;PODLASKIE
Brañsk;PODLASKIE
Grajewo;PODLASKIE
Rajgród;PODLASKIE
Szczuczyn;PODLASKIE
Hajnówka;PODLASKIE
Kleszczele;PODLASKIE
Kolno;PODLASKIE
Stawiski;PODLASKIE
Jedwabne;PODLASKIE
Nowogród;PODLASKIE
Goni¹dz;PODLASKIE
Knyszyn;PODLASKIE
Moñki;PODLASKIE
Sejny;PODLASKIE
Siemiatycze;PODLASKIE
Drohiczyn;PODLASKIE
D¹browa Bia³ostocka;PODLASKIE
Krynki;PODLASKIE
Sokó³ka;PODLASKIE
Suchowola;PODLASKIE
Wysokie Mazowieckie;PODLASKIE
Ciechanowiec;PODLASKIE
Czy¿ew;PODLASKIE
Szepietowo;PODLASKIE
Zambrów;PODLASKIE
Bia³ystok;PODLASKIE
£om¿a;PODLASKIE
Suwa³ki;PODLASKIE
Bytów;POMORSKIE
Miastko;POMORSKIE
Chojnice;POMORSKIE
Brusy;POMORSKIE
Czersk;POMORSKIE
Cz³uchów;POMORSKIE
Czarne;POMORSKIE
Debrzno;POMORSKIE
Pruszcz Gdañski;POMORSKIE
Kartuzy;POMORSKIE
¯ukowo;POMORSKIE
Koœcierzyna;POMORSKIE
Kwidzyn;POMORSKIE
Prabuty;POMORSKIE
Lêbork;POMORSKIE
£eba;POMORSKIE
Malbork;POMORSKIE
Nowy Staw;POMORSKIE
Krynica Morska;POMORSKIE
Nowy Dwór Gdañski;POMORSKIE
Hel;POMORSKIE
Jastarnia;POMORSKIE
Puck;POMORSKIE
W³adys³awowo;POMORSKIE
Ustka;POMORSKIE
Kêpice;POMORSKIE
Czarna Woda;POMORSKIE
Skórcz;POMORSKIE
Starogard Gdañski;POMORSKIE
Skarszewy;POMORSKIE
Tczew;POMORSKIE
Gniew;POMORSKIE
Pelplin;POMORSKIE
Reda;POMORSKIE
Rumia;POMORSKIE
Wejherowo;POMORSKIE
Dzierzgoñ;POMORSKIE
Sztum;POMORSKIE
Gdañsk;POMORSKIE
Gdynia;POMORSKIE
S³upsk;POMORSKIE
Sopot;POMORSKIE
Bêdzin;ŒL¥SKIE
CzeladŸ;ŒL¥SKIE
Wojkowice;ŒL¥SKIE
Siewierz;ŒL¥SKIE
S³awków;ŒL¥SKIE
Szczyrk;ŒL¥SKIE
Czechowice-Dziedzice;ŒL¥SKIE
Wilamowice;ŒL¥SKIE
Cieszyn;ŒL¥SKIE
Ustroñ;ŒL¥SKIE
Wis³a;ŒL¥SKIE
Skoczów;ŒL¥SKIE
Strumieñ;ŒL¥SKIE
Blachownia;ŒL¥SKIE
Koniecpol;ŒL¥SKIE
Knurów;ŒL¥SKIE
Pyskowice;ŒL¥SKIE
Soœnicowice;ŒL¥SKIE
Toszek;ŒL¥SKIE
K³obuck;ŒL¥SKIE
Krzepice;ŒL¥SKIE
Lubliniec;ŒL¥SKIE
WoŸniki;ŒL¥SKIE
£aziska Górne;ŒL¥SKIE
Miko³ów;ŒL¥SKIE
Orzesze;ŒL¥SKIE
Myszków;ŒL¥SKIE
Kozieg³owy;ŒL¥SKIE
¯arki;ŒL¥SKIE
Pszczyna;ŒL¥SKIE
Racibórz;ŒL¥SKIE
Krzanowice;ŒL¥SKIE
KuŸnia Raciborska;ŒL¥SKIE
Czerwionka-Leszczyny;ŒL¥SKIE
Kalety;ŒL¥SKIE
Miasteczko Œl¹skie;ŒL¥SKIE
Radzionków;ŒL¥SKIE
Tarnowskie Góry;ŒL¥SKIE
Bieruñ;ŒL¥SKIE
Imielin;ŒL¥SKIE
Lêdziny;ŒL¥SKIE
Pszów;ŒL¥SKIE
Radlin;ŒL¥SKIE
Rydu³towy;ŒL¥SKIE
Wodzis³aw Œl¹ski;ŒL¥SKIE
Porêba;ŒL¥SKIE
Zawiercie;ŒL¥SKIE
£azy;ŒL¥SKIE
Ogrodzieniec;ŒL¥SKIE
Pilica;ŒL¥SKIE
Szczekociny;ŒL¥SKIE
¯ywiec;ŒL¥SKIE
Bielsko-Bia³a;ŒL¥SKIE
Bytom;ŒL¥SKIE
Chorzów;ŒL¥SKIE
Czêstochowa;ŒL¥SKIE
D¹browa Górnicza;ŒL¥SKIE
Gliwice;ŒL¥SKIE
Jastrzêbie-Zdrój;ŒL¥SKIE
Jaworzno;ŒL¥SKIE
Katowice;ŒL¥SKIE
Mys³owice;ŒL¥SKIE
Piekary Œl¹skie;ŒL¥SKIE
Ruda Œl¹ska;ŒL¥SKIE
Rybnik;ŒL¥SKIE
Siemianowice Œl¹skie;ŒL¥SKIE
Sosnowiec;ŒL¥SKIE
Œwiêtoch³owice;ŒL¥SKIE
Tychy;ŒL¥SKIE
Zabrze;ŒL¥SKIE
¯ory;ŒL¥SKIE
Busko-Zdrój;ŒWIÊTOKRZYSKIE
Stopnica;ŒWIÊTOKRZYSKIE
Jêdrzejów;ŒWIÊTOKRZYSKIE
Ma³ogoszcz;ŒWIÊTOKRZYSKIE
Sêdziszów;ŒWIÊTOKRZYSKIE
Kazimierza Wielka;ŒWIÊTOKRZYSKIE
Skalbmierz;ŒWIÊTOKRZYSKIE
Bodzentyn;ŒWIÊTOKRZYSKIE
Chêciny;ŒWIÊTOKRZYSKIE
Chmielnik;ŒWIÊTOKRZYSKIE
Daleszyce;ŒWIÊTOKRZYSKIE
Koñskie;ŒWIÊTOKRZYSKIE
St¹porków;ŒWIÊTOKRZYSKIE
Opatów;ŒWIÊTOKRZYSKIE
O¿arów;ŒWIÊTOKRZYSKIE
Ostrowiec Œwiêtokrzyski;ŒWIÊTOKRZYSKIE
Æmielów;ŒWIÊTOKRZYSKIE
Kunów;ŒWIÊTOKRZYSKIE
Dzia³oszyce;ŒWIÊTOKRZYSKIE
Piñczów;ŒWIÊTOKRZYSKIE
Sandomierz;ŒWIÊTOKRZYSKIE
Koprzywnica;ŒWIÊTOKRZYSKIE
Zawichost;ŒWIÊTOKRZYSKIE
Skar¿ysko-Kamienna;ŒWIÊTOKRZYSKIE
Suchedniów;ŒWIÊTOKRZYSKIE
Starachowice;ŒWIÊTOKRZYSKIE
W¹chock;ŒWIÊTOKRZYSKIE
Osiek;ŒWIÊTOKRZYSKIE
Po³aniec;ŒWIÊTOKRZYSKIE
Staszów;ŒWIÊTOKRZYSKIE
W³oszczowa;ŒWIÊTOKRZYSKIE
Kielce;ŒWIÊTOKRZYSKIE
Bartoszyce;WARMIÑSKO-MAZURSKIE
Górowo I³aweckie;WARMIÑSKO-MAZURSKIE
Bisztynek;WARMIÑSKO-MAZURSKIE
Sêpopol;WARMIÑSKO-MAZURSKIE
Braniewo;WARMIÑSKO-MAZURSKIE
Frombork;WARMIÑSKO-MAZURSKIE
Pieniê¿no;WARMIÑSKO-MAZURSKIE
Dzia³dowo;WARMIÑSKO-MAZURSKIE
Lidzbark;WARMIÑSKO-MAZURSKIE
M³ynary;WARMIÑSKO-MAZURSKIE
Pas³êk;WARMIÑSKO-MAZURSKIE
Tolkmicko;WARMIÑSKO-MAZURSKIE
E³k;WARMIÑSKO-MAZURSKIE
Gi¿ycko;WARMIÑSKO-MAZURSKIE
Ryn;WARMIÑSKO-MAZURSKIE
I³awa;WARMIÑSKO-MAZURSKIE
Lubawa;WARMIÑSKO-MAZURSKIE
Kisielice;WARMIÑSKO-MAZURSKIE
Susz;WARMIÑSKO-MAZURSKIE
Zalewo;WARMIÑSKO-MAZURSKIE
Kêtrzyn;WARMIÑSKO-MAZURSKIE
Korsze;WARMIÑSKO-MAZURSKIE
Reszel;WARMIÑSKO-MAZURSKIE
Lidzbark Warmiñski;WARMIÑSKO-MAZURSKIE
Orneta;WARMIÑSKO-MAZURSKIE
Mr¹gowo;WARMIÑSKO-MAZURSKIE
Miko³ajki;WARMIÑSKO-MAZURSKIE
Nidzica;WARMIÑSKO-MAZURSKIE
Nowe Miasto Lubawskie;WARMIÑSKO-MAZURSKIE
